Tool
EMF API
Jena (Inferencing)
Jena (No Inferencing)
MySQL
Neo4j (Core API-CSV)
Neo4j (Cypher-GraphML)
SQLite
TinkerGraph.Local
TinkerGraph.Remote
VIATRA (Incremental)
VIATRA (Local Search)
